[2026-09-17T16:54:54+08:00] baseline done
[2026-09-17T16:54:54+08:00] SFT n=128 start
[2026-09-17T16:57:03+08:00] baseline done
[2026-09-17T16:57:03+08:00] SFT n=128 start
[2026-09-17T16:58:54+08:00] SFT n=128 done
[2026-09-17T16:58:54+08:00] SFT n=256 start
[2026-09-17T17:01:05+08:00] SFT n=256 done
[2026-09-17T17:01:05+08:00] SFT n=512 start
[2026-09-17T17:04:01+08:00] SFT n=512 done
[2026-09-17T17:04:01+08:00] SFT n=1024 start
[2026-09-17T17:08:11+08:00] SFT n=1024 done
[2026-09-17T17:08:11+08:00] SFT n=1767 start
[2026-09-17T17:14:20+08:00] SFT n=1767 done
[2026-09-17T17:19:30+08:00] filtered SFT done
[2026-09-17T17:19:30+08:00] EI b512_g4_e1 start
[2026-09-17T17:32:20+08:00] EI b512_g4_e1 done
[2026-09-17T17:32:20+08:00] EI b1024_g8_e1 start
[2026-09-17T18:19:06+08:00] EI b1024_g8_e1 done
[2026-09-17T18:19:06+08:00] EI b2048_g4_e2 start
[2026-09-17T19:17:40+08:00] EI b2048_g4_e2 done
[2026-09-17T19:17:40+08:00] GRPO lr_1e-5 start
[2026-09-17T19:32:57+08:00] GRPO lr_1e-5 done
[2026-09-17T19:32:57+08:00] GRPO lr_2e-5 start
[2026-09-17T19:47:57+08:00] GRPO lr_2e-5 done
[2026-09-17T19:47:57+08:00] GRPO lr_3e-5 start
[2026-09-17T20:03:03+08:00] GRPO lr_3e-5 done
BEST_LR=3e-5
[2026-09-17T20:03:03+08:00] GRPO no_baseline start
[2026-09-17T20:17:22+08:00] GRPO no_baseline done
[2026-09-17T20:17:22+08:00] GRPO reinforce_best start
[2026-09-17T20:31:39+08:00] GRPO reinforce_best done
[2026-09-17T20:31:39+08:00] GRPO length_constant start
[2026-09-17T20:45:23+08:00] GRPO length_constant done
[2026-09-17T20:45:24+08:00] GRPO std_false start
